month,ticker,monthly_return_pct,rank,category
2023-10,NESTLEIND,8.6,Top 5,Gainer
2023-10,COALINDIA,7.66,Top 5,Gainer
2023-10,BAJAJ-AUTO,5.93,Top 5,Gainer
2023-10,SBILIFE,5.83,Top 5,Gainer
2023-10,TRENT,4.64,Top 5,Gainer
2023-10,APOLLOHOSP,-5.84,Bottom 5,Loser
2023-10,BAJFINANCE,-5.96,Bottom 5,Loser
2023-10,SBIN,-6.2,Bottom 5,Loser
2023-10,TECHM,-6.83,Bottom 5,Loser
2023-10,TATASTEEL,-7.23,Bottom 5,Loser
2023-11,TRENT,26.82,Top 5,Gainer
2023-11,HEROMOTOCO,23.5,Top 5,Gainer
2023-11,BPCL,22.08,Top 5,Gainer
2023-11,EICHERMOT,18.73,Top 5,Gainer
2023-11,APOLLOHOSP,15.27,Top 5,Gainer
2023-11,KOTAKBANK,1.8,Bottom 5,Loser
2023-11,NESTLEIND,1.52,Bottom 5,Loser
2023-11,CIPLA,0.92,Bottom 5,Loser
2023-11,SBIN,-0.29,Bottom 5,Loser
2023-11,BAJFINANCE,-4.68,Bottom 5,Loser
2023-12,BEL,24.92,Top 5,Gainer
2023-12,ADANIPORTS,23.74,Top 5,Gainer
2023-12,ADANIENT,20.58,Top 5,Gainer
2023-12,HINDALCO,18.88,Top 5,Gainer
2023-12,ULTRACEMCO,16.26,Top 5,Gainer
2023-12,SBILIFE,0.63,Bottom 5,Loser
2023-12,BAJAJFINSV,-0.01,Bottom 5,Loser
2023-12,AXISBANK,-0.21,Bottom 5,Loser
2023-12,MARUTI,-2.68,Bottom 5,Loser
2023-12,HDFCLIFE,-5.2,Bottom 5,Loser
2024-01,ONGC,22.84,Top 5,Gainer
2024-01,SHRIRAMFIN,20.4,Top 5,Gainer
2024-01,BHARTIARTL,15.56,Top 5,Gainer
2024-01,ADANIPORTS,15.25,Top 5,Gainer
2024-01,BAJAJ-AUTO,14.42,Top 5,Gainer
2024-01,JSWSTEEL,-6.72,Bottom 5,Loser
2024-01,NESTLEIND,-8.45,Bottom 5,Loser
2024-01,HDFCLIFE,-11.11,Bottom 5,Loser
2024-01,ASIANPAINT,-12.9,Bottom 5,Loser
2024-01,HDFCBANK,-13.87,Bottom 5,Loser
2024-02,TRENT,25.11,Top 5,Gainer
2024-02,BPCL,18.76,Top 5,Gainer
2024-02,M&M,17.03,Top 5,Gainer
2024-02,SBIN,15.51,Top 5,Gainer
2024-02,SUNPHARMA,12.07,Top 5,Gainer
2024-02,HDFCBANK,-4.29,Bottom 5,Loser
2024-02,INDUSINDBK,-4.3,Bottom 5,Loser
2024-02,KOTAKBANK,-7.31,Bottom 5,Loser
2024-02,ITC,-8.26,Bottom 5,Loser
2024-02,HINDALCO,-11.8,Bottom 5,Loser
2024-03,BAJAJ-AUTO,13.78,Top 5,Gainer
2024-03,BAJFINANCE,10.25,Top 5,Gainer
2024-03,BHARTIARTL,8.85,Top 5,Gainer
2024-03,MARUTI,8.43,Top 5,Gainer
2024-03,HINDALCO,7.93,Top 5,Gainer
2024-03,HINDUNILVR,-6.03,Bottom 5,Loser
2024-03,HCLTECH,-6.12,Bottom 5,Loser
2024-03,WIPRO,-7.51,Bottom 5,Loser
2024-03,TATACONSUM,-8.73,Bottom 5,Loser
2024-03,INFY,-9.47,Bottom 5,Loser
2024-04,EICHERMOT,16.49,Top 5,Gainer
2024-04,TRENT,13.46,Top 5,Gainer
2024-04,HINDALCO,13.33,Top 5,Gainer
2024-04,M&M,12.55,Top 5,Gainer
2024-04,BEL,10.73,Top 5,Gainer
2024-04,SUNPHARMA,-7.8,Bottom 5,Loser
2024-04,APOLLOHOSP,-7.9,Bottom 5,Loser
2024-04,HDFCLIFE,-8.05,Bottom 5,Loser
2024-04,KOTAKBANK,-9.31,Bottom 5,Loser
2024-04,HCLTECH,-12.21,Bottom 5,Loser
2024-05,BEL,26.07,Top 5,Gainer
2024-05,M&M,14.69,Top 5,Gainer
2024-05,HEROMOTOCO,12.24,Top 5,Gainer
2024-05,ADANIENT,12.23,Top 5,Gainer
2024-05,BRITANNIA,8.83,Top 5,Gainer
2024-05,ONGC,-6.52,Bottom 5,Loser
2024-05,DRREDDY,-7.88,Bottom 5,Loser
2024-05,SHRIRAMFIN,-8.83,Bottom 5,Loser
2024-05,TITAN,-9.15,Bottom 5,Loser
2024-05,TATAMOTORS,-10.2,Bottom 5,Loser
2024-06,TRENT,17.54,Top 5,Gainer
2024-06,SHRIRAMFIN,16.04,Top 5,Gainer
2024-06,WIPRO,15.93,Top 5,Gainer
2024-06,TECHM,14.86,Top 5,Gainer
2024-06,GRASIM,12.73,Top 5,Gainer
2024-06,ADANIPORTS,-6.68,Bottom 5,Loser
2024-06,COALINDIA,-7.65,Bottom 5,Loser
2024-06,BPCL,-8.75,Bottom 5,Loser
2024-06,LT,-8.95,Bottom 5,Loser
2024-06,ADANIENT,-12.84,Bottom 5,Loser
2024-07,ONGC,22.44,Top 5,Gainer
2024-07,HDFCLIFE,19.1,Top 5,Gainer
2024-07,INFY,17.44,Top 5,Gainer
2024-07,SBILIFE,16.77,Top 5,Gainer
2024-07,ITC,15.45,Top 5,Gainer
2024-07,NESTLEIND,-4.35,Bottom 5,Loser
2024-07,TATASTEEL,-5.02,Bottom 5,Loser
2024-07,HDFCBANK,-5.25,Bottom 5,Loser
2024-07,BAJFINANCE,-6.46,Bottom 5,Loser
2024-07,AXISBANK,-7.59,Bottom 5,Loser
2024-08,TRENT,24.05,Top 5,Gainer
2024-08,BAJAJ-AUTO,11.93,Top 5,Gainer
2024-08,BAJAJFINSV,9.07,Top 5,Gainer
2024-08,SHRIRAMFIN,7.2,Top 5,Gainer
2024-08,CIPLA,7.03,Top 5,Gainer
2024-08,ADANIENT,-6.15,Bottom 5,Loser
2024-08,TATASTEEL,-6.32,Bottom 5,Loser
2024-08,POWERGRID,-6.56,Bottom 5,Loser
2024-08,ADANIPORTS,-6.81,Bottom 5,Loser
2024-08,MARUTI,-7.16,Bottom 5,Loser
2024-09,M&M,11.45,Top 5,Gainer
2024-09,BAJAJ-AUTO,10.96,Top 5,Gainer
2024-09,SHRIRAMFIN,10.9,Top 5,Gainer
2024-09,HINDALCO,10.57,Top 5,Gainer
2024-09,TATASTEEL,10.25,Top 5,Gainer
2024-09,TECHM,-4.22,Bottom 5,Loser
2024-09,INFY,-4.53,Bottom 5,Loser
2024-09,TCS,-5.59,Bottom 5,Loser
2024-09,ONGC,-8.77,Bottom 5,Loser
2024-09,TATAMOTORS,-10.8,Bottom 5,Loser
2024-10,SBIN,2.92,Top 5,Gainer
2024-10,HDFCLIFE,1.4,Top 5,Gainer
2024-10,ICICIBANK,1.4,Top 5,Gainer
2024-10,WIPRO,0.92,Top 5,Gainer
2024-10,HDFCBANK,0.55,Top 5,Gainer
2024-10,MARUTI,-15.87,Bottom 5,Loser
