ticker,volatility
ADANIENT,0.028601
ADANIPORTS,0.026029
BEL,0.023283
TRENT,0.023074
ONGC,0.022247
BPCL,0.022069
SHRIRAMFIN,0.021687
COALINDIA,0.021411
HINDALCO,0.019587
NTPC,0.019475
M&M,0.019213
INDUSINDBK,0.019111
POWERGRID,0.018671
TATASTEEL,0.018232
SBIN,0.017939
TATAMOTORS,0.017877
BAJAJ-AUTO,0.017609
WIPRO,0.017468
LT,0.016964
HEROMOTOCO,0.016563
JSWSTEEL,0.016384
CIPLA,0.016332
EICHERMOT,0.016099
TECHM,0.01602
BAJFINANCE,0.015918
AXISBANK,0.015625
SBILIFE,0.015113
TATACONSUM,0.014805
HDFCLIFE,0.01463
INFY,0.014492
GRASIM,0.014465
ULTRACEMCO,0.014315
HCLTECH,0.014295
KOTAKBANK,0.014216
TITAN,0.014136
APOLLOHOSP,0.014135
BAJAJFINSV,0.014118
MARUTI,0.013712
BHARTIARTL,0.013625
RELIANCE,0.013562
HDFCBANK,0.01349
TCS,0.013162
BRITANNIA,0.013039
ICICIBANK,0.012789
ASIANPAINT,0.012665
NESTLEIND,0.012517
DRREDDY,0.01249
HINDUNILVR,0.012074
ITC,0.011944
SUNPHARMA,0.011733
